Genotype,Bacteria,Condition,Odor,Method,Concentration,Response.time,Experimenter,Date,,,
cest-2.1,OP50,control,30pct,,,3,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,4.8,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,7.3,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,18.3,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,1.5,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,2.76,TB,2021-09-29,,,
N2,OP50,control,30pct,,,7.93,TB,2021-09-29,,,
N2,OP50,control,30pct,,,6.47,TB,2021-09-29,,,
N2,OP50,control,30pct,,,3.71,TB,2021-09-29,,,
N2,OP50,control,30pct,,,3.23,TB,2021-09-29,,,
N2,OP50,control,30pct,,,5.73,TB,2021-09-29,,,
N2,OP50,control,30pct,,,3.94,TB,2021-09-29,,,
N2,OP50,control,30pct,,,4.47,TB,2021-09-29,,,
N2,OP50,control,30pct,,,6.68,TB,2021-09-29,,,
N2,OP50,control,30pct,,,9.25,TB,2021-09-29,,,
N2,OP50,control,30pct,,,5.6,TB,2021-09-29,,,
N2,OP50,control,30pct,,,6.37,TB,2021-09-29,,,
N2,OP50,control,30pct,,,2.15,TB,2021-09-29,,,
N2,OP50,control,30pct,,,7.39,TB,2021-09-29,,,
N2,OP50,control,30pct,,,6.13,TB,2021-09-29,,,
N2,OP50,control,30pct,,,6.04,TB,2021-09-29,,,
N2,OP50,control,30pct,,,4.83,TB,2021-09-29,,,
N2,OP50,control,30pct,,,7.2,TB,2021-09-29,,,
N2,OP50,control,30pct,,,4.22,TB,2021-09-29,,,
N2,OP50,control,30pct,,,5.25,TB,2021-09-29,,,
N2,OP50,control,30pct,,,3.53,TB,2021-09-29,,,
N2,OP50,control,30pct,,,5.55,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,1.15,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,6.56,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,5.16,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,3.25,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,4.23,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,3.84,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,5.68,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,3.21,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,5.11,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,2.06,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,1.51,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,2.71,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,3.96,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,1.62,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,2.84,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,1.85,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,2.96,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,8.38,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,3.88,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,2.2,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,3.57,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,4.09,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,6.27,TB,2021-09-29,,,
cest-2.1,OP50,control,30pct,,,4.23,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.9,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.41,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.66,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.13,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,5.3,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.86,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.82,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.91,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,5.94,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.95,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.26,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,6.93,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,6.29,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,2.87,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,5.75,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.98,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,6.75,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,2.31,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.36,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.47,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.11,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.86,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.32,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,2.95,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.18,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.35,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,5.09,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,3.78,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,5.47,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.69,TB,2021-10-06,,,
cest-2.1,OP50,control,30pct,,,4.17,TB,2021-10-06,,,
N2,OP50,control,30pct,,,3.1,TB,2021-10-06,,,
N2,OP50,control,30pct,,,6.05,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.44,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.93,TB,2021-10-06,,,
N2,OP50,control,30pct,,,3.28,TB,2021-10-06,,,
N2,OP50,control,30pct,,,3.63,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.59,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.3,TB,2021-10-06,,,
N2,OP50,control,30pct,,,7.43,TB,2021-10-06,,,
N2,OP50,control,30pct,,,6.13,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.67,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.98,TB,2021-10-06,,,
N2,OP50,control,30pct,,,6.71,TB,2021-10-06,,,
N2,OP50,control,30pct,,,2.73,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.44,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.39,TB,2021-10-06,,,
N2,OP50,control,30pct,,,7.41,TB,2021-10-06,,,
N2,OP50,control,30pct,,,6.38,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.17,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.91,TB,2021-10-06,,,
N2,OP50,control,30pct,,,7.15,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.4,TB,2021-10-06,,,
N2,OP50,control,30pct,,,3.24,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.79,TB,2021-10-06,,,
N2,OP50,control,30pct,,,6.37,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.6,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.99,TB,2021-10-06,,,
N2,OP50,control,30pct,,,5.6,TB,2021-10-06,,,
N2,OP50,control,30pct,,,4.29,TB,2021-10-06,,,
N2,OP50,4mM TA,30pct,,,2.81,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,5.86,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,5.67,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,3.69,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,2.9,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,3.38,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,4.72,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,5.38,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,5.14,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,4.21,TB,2021-12-09,,,
N2,OP50,4mM TA,30pct,,,5.19,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,3.28,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,2.72,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,4.36,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,4.02,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,2.9,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,4.09,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,3.55,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,2.22,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,4.17,TB,2021-12-09,,,
cest-2.1,OP50,4mM TA,30pct,,,3.22,TB,2021-12-09,,,
