Genotype,Condition,Odor,Response.time,Experimenter,Date,,,
cest-2.1,control,30pct,5.22,TB,2023-05-08,,,
cest-2.1,control,30pct,3.95,TB,2023-05-08,,,
cest-2.1,control,30pct,4.97,TB,2023-05-08,,,
cest-2.1,control,30pct,5.42,TB,2023-05-08,,,
cest-2.1,control,30pct,8.63,TB,2023-05-08,,,
cest-2.1,control,30pct,10.68,TB,2023-05-08,,,
cest-2.1,control,30pct,7.01,TB,2023-05-08,,,
cest-2.1,control,30pct,8.62,TB,2023-05-08,,,
glo-1,control,30pct,2.96,TB,2023-05-08,,,
glo-1,control,30pct,8.38,TB,2023-05-08,,,
glo-1,control,30pct,3.88,TB,2023-05-08,,,
glo-1,control,30pct,2.2,TB,2023-05-08,,,
glo-1,control,30pct,3.57,TB,2023-05-08,,,
glo-1,control,30pct,4.09,TB,2023-05-08,,,
glo-1,control,30pct,3.19,TB,2023-05-08,,,
glo-1,control,30pct,8.75,TB,2023-05-08,,,
glo-1,control,30pct,3.31,TB,2023-05-08,,,
glo-1,control,30pct,6.31,TB,2023-05-08,,,
glo-1,control,30pct,2.4,TB,2023-05-08,,,
glo-1,control,30pct,4.62,TB,2023-05-08,,,
glo-1,control,30pct,4.37,TB,2023-05-08,,,
glo-1,control,30pct,2.65,TB,2023-05-08,,,
glo-1,control,30pct,2.38,TB,2023-05-08,,,
glo-1,control,30pct,2.75,TB,2023-05-08,,,
glo-1,control,30pct,3.19,TB,2023-05-08,,,
glo-1,control,30pct,4.48,TB,2023-05-08,,,
tbh-1,control,30pct,3.12,TB,2023-05-08,,,
tbh-1,control,30pct,2.73,TB,2023-05-08,,,
tbh-1,control,30pct,5.23,TB,2023-05-08,,,
tbh-1,control,30pct,4.51,TB,2023-05-08,,,
tbh-1,control,30pct,6.04,TB,2023-05-08,,,
tbh-1,control,30pct,3.39,TB,2023-05-08,,,
tbh-1,control,30pct,3.52,TB,2023-05-08,,,
tbh-1,control,30pct,5.11,TB,2023-05-08,,,
tbh-1,control,30pct,6.59,TB,2023-05-08,,,
tbh-1,control,30pct,7.99,TB,2023-05-08,,,
tbh-1,control,30pct,5.72,TB,2023-05-08,,,
tbh-1,control,30pct,2.74,TB,2023-05-08,,,
tbh-1,control,30pct,6.36,TB,2023-05-08,,,
tbh-1,control,30pct,2.96,TB,2023-05-08,,,
tbh-1,control,30pct,4.55,TB,2023-05-08,,,
tbh-1,control,30pct,3.08,TB,2023-05-08,,,
tbh-1,control,30pct,3.96,TB,2023-05-08,,,
tbh-1,control,30pct,4.03,TB,2023-05-08,,,
tbh-1,control,30pct,3.14,TB,2023-05-08,,,
tbh-1,control,30pct,4.63,TB,2023-05-08,,,
tbh-1,control,30pct,2.73,TB,2023-05-08,,,
N2,control,30pct,4.57,TB,2023-05-09,,,
N2,control,30pct,3.98,TB,2023-05-09,,,
N2,control,30pct,7.56,TB,2023-05-09,,,
N2,control,30pct,9.96,TB,2023-05-09,,,
N2,control,30pct,5.72,TB,2023-05-09,,,
N2,control,30pct,14.72,TB,2023-05-09,,,
N2,control,30pct,3.55,TB,2023-05-09,,,
N2,control,30pct,8.95,TB,2023-05-09,,,
N2,control,30pct,11.35,TB,2023-05-09,,,
N2,control,30pct,17.41,TB,2023-05-09,,,
N2,control,30pct,7.52,TB,2023-05-09,,,
N2,control,30pct,6.39,TB,2023-05-09,,,
N2,control,30pct,5.97,TB,2023-05-09,,,
N2,control,30pct,10.87,TB,2023-05-09,,,
N2,control,30pct,5.03,TB,2023-05-09,,,
N2,control,30pct,9.41,TB,2023-05-09,,,
N2,control,30pct,12.26,TB,2023-05-09,,,
N2,control,30pct,18.54,TB,2023-05-09,,,
N2,control,30pct,8.23,TB,2023-05-09,,,
glo-1,control,30pct,5.39,TB,2023-05-09,,,
glo-1,control,30pct,2.63,TB,2023-05-09,,,
glo-1,control,30pct,9.53,TB,2023-05-09,,,
glo-1,control,30pct,6.34,TB,2023-05-09,,,
glo-1,control,30pct,6.1,TB,2023-05-09,,,
glo-1,control,30pct,9.53,TB,2023-05-09,,,
glo-1,control,30pct,8.64,TB,2023-05-09,,,
glo-1,control,30pct,3.24,TB,2023-05-09,,,
glo-1,control,30pct,4.69,TB,2023-05-09,,,
glo-1,control,30pct,6.49,TB,2023-05-09,,,
glo-1,control,30pct,1.95,TB,2023-05-09,,,
glo-1,control,30pct,3.32,TB,2023-05-09,,,
glo-1,control,30pct,5.23,TB,2023-05-09,,,
glo-1,control,30pct,8.65,TB,2023-05-09,,,
glo-1,control,30pct,9.21,TB,2023-05-09,,,
glo-1,control,30pct,2.11,TB,2023-05-09,,,
glo-1,control,30pct,3.45,TB,2023-05-09,,,
glo-1,control,30pct,5.28,TB,2023-05-09,,,
glo-1,control,30pct,8.26,TB,2023-05-09,,,
glo-1,control,30pct,2.91,TB,2023-05-09,,,
glo-1,control,30pct,7.34,TB,2023-05-09,,,
glo-1,control,30pct,2.67,TB,2023-05-09,,,
cest-2.1,control,30pct,3.12,TB,2023-05-09,,,
cest-2.1,control,30pct,1.78,TB,2023-05-09,,,
cest-2.1,control,30pct,4.53,TB,2023-05-09,,,
cest-2.1,control,30pct,3.53,TB,2023-05-09,,,
cest-2.1,control,30pct,7.55,TB,2023-05-09,,,
cest-2.1,control,30pct,5.28,TB,2023-05-09,,,
cest-2.1,control,30pct,2.2,TB,2023-05-09,,,
cest-2.1,control,30pct,4.34,TB,2023-05-09,,,
cest-2.1,control,30pct,3.44,TB,2023-05-09,,,
cest-2.1,control,30pct,5.47,TB,2023-05-09,,,
cest-2.1,control,30pct,3.94,TB,2023-05-09,,,
cest-2.1,control,30pct,8.64,TB,2023-05-09,,,
cest-2.1,control,30pct,6.13,TB,2023-05-09,,,
cest-2.1,control,30pct,2.11,TB,2023-05-09,,,
cest-2.1,control,30pct,3.87,TB,2023-05-09,,,
cest-2.1,control,30pct,4.02,TB,2023-05-09,,,
cest-2.1,control,30pct,3.85,TB,2023-05-09,,,
cest-2.1,control,30pct,6.93,TB,2023-05-09,,,
cest-2.1,control,30pct,3.61,TB,2023-05-09,,,
cest-2.1,control,30pct,5.95,TB,2023-05-09,,,
cest-2.1,control,30pct,3.09,TB,2023-05-09,,,
cest-2.1,control,30pct,2.67,TB,2023-05-09,,,
cest-2.1,control,30pct,6.34,TB,2023-05-09,,,
cest-2.1,control,30pct,3.12,TB,2023-05-09,,,
N2,control,30pct,6.23,TB,2023-05-10,,,
N2,control,30pct,4.13,TB,2023-05-10,,,
N2,control,30pct,7.45,TB,2023-05-10,,,
N2,control,30pct,6.44,TB,2023-05-10,,,
N2,control,30pct,7.24,TB,2023-05-10,,,
N2,control,30pct,9.74,TB,2023-05-10,,,
N2,control,30pct,17.42,TB,2023-05-10,,,
N2,control,30pct,11.54,TB,2023-05-10,,,
N2,control,30pct,7.2,TB,2023-05-10,,,
N2,control,30pct,9.23,TB,2023-05-10,,,
N2,control,30pct,8.32,TB,2023-05-10,,,
N2,control,30pct,5.29,TB,2023-05-10,,,
N2,control,30pct,12.62,TB,2023-05-10,,,
N2,control,30pct,15.68,TB,2023-05-10,,,
N2,control,30pct,10.67,TB,2023-05-10,,,
N2,control,30pct,4.34,TB,2023-05-10,,,
N2,control,30pct,6.98,TB,2023-05-10,,,
tbh-1,control,30pct,1.43,TB,2023-05-10,,,
tbh-1,control,30pct,7.35,TB,2023-05-10,,,
tbh-1,control,30pct,3.54,TB,2023-05-10,,,
tbh-1,control,30pct,2.65,TB,2023-05-10,,,
tbh-1,control,30pct,7.32,TB,2023-05-10,,,
tbh-1,control,30pct,1.45,TB,2023-05-10,,,
tbh-1,control,30pct,4.6,TB,2023-05-10,,,
tbh-1,control,30pct,1.27,TB,2023-05-10,,,
tbh-1,control,30pct,4.92,TB,2023-05-10,,,
tbh-1,control,30pct,6.79,TB,2023-05-10,,,
tbh-1,control,30pct,5.92,TB,2023-05-10,,,
tbh-1,control,30pct,2.44,TB,2023-05-10,,,
tbh-1,control,30pct,2.95,TB,2023-05-10,,,
tbh-1,control,30pct,4.02,TB,2023-05-10,,,
tbh-1,control,30pct,5.54,TB,2023-05-10,,,
tbh-1,control,30pct,8.31,TB,2023-05-10,,,
tbh-1,control,30pct,5.86,TB,2023-05-10,,,
tbh-1,control,30pct,3.78,TB,2023-05-10,,,
tbh-1,control,30pct,3.65,TB,2023-05-10,,,
cest-2.1,control,30pct,2.46,TB,2023-05-10,,,
cest-2.1,control,30pct,2.35,TB,2023-05-10,,,
cest-2.1,control,30pct,1.73,TB,2023-05-10,,,
cest-2.1,control,30pct,3.79,TB,2023-05-10,,,
cest-2.1,control,30pct,2.31,TB,2023-05-10,,,
cest-2.1,control,30pct,7.91,TB,2023-05-10,,,
cest-2.1,control,30pct,3.98,TB,2023-05-10,,,
cest-2.1,control,30pct,2.93,TB,2023-05-10,,,
cest-2.1,control,30pct,4.1,TB,2023-05-10,,,
cest-2.1,control,30pct,1.47,TB,2023-05-10,,,
cest-2.1,control,30pct,4.12,TB,2023-05-10,,,
cest-2.1,control,30pct,1.67,TB,2023-05-10,,,
cest-2.1,control,30pct,8.32,TB,2023-05-10,,,
cest-2.1,control,30pct,6.74,TB,2023-05-10,,,
cest-2.1,control,30pct,5.18,TB,2023-05-10,,,
cest-2.1,control,30pct,4.23,TB,2023-05-10,,,
cest-2.1,control,30pct,2.51,TB,2023-05-24,,,
cest-2.1,control,30pct,2.25,TB,2023-05-24,,,
cest-2.1,control,30pct,3.2,TB,2023-05-24,,,
cest-2.1,control,30pct,2.66,TB,2023-05-24,,,
cest-2.1,control,30pct,1.98,TB,2023-05-24,,,
cest-2.1,control,30pct,1.93,TB,2023-05-24,,,
cest-2.1,control,30pct,3.84,TB,2023-05-24,,,
cest-2.1,control,30pct,2.66,TB,2023-05-24,,,
cest-2.1,control,30pct,3.82,TB,2023-05-24,,,
cest-2.1,control,30pct,3.1,TB,2023-05-24,,,
cest-2.1,control,30pct,4.81,TB,2023-05-24,,,
cest-2.1,control,30pct,3.21,TB,2023-05-24,,,
cest-2.1,control,30pct,2.41,TB,2023-05-24,,,
cest-2.1,control,30pct,6.76,TB,2023-05-24,,,
cest-2.1,control,30pct,3.98,TB,2023-05-24,,,
cest-2.1,control,30pct,4.41,TB,2023-05-24,,,
cest-2.1,control,30pct,4.76,TB,2023-05-24,,,
cest-2.1,control,30pct,1.98,TB,2023-05-24,,,
cest-2.1,control,30pct,3.88,TB,2023-05-24,,,
cest-2.1,control,30pct,5.7,TB,2023-05-24,,,
N2,control,30pct,3.27,TB,2023-05-24,,,
N2,control,30pct,4.72,TB,2023-05-24,,,
N2,control,30pct,6.15,TB,2023-05-24,,,
N2,control,30pct,14.39,TB,2023-05-24,,,
N2,control,30pct,11.08,TB,2023-05-24,,,
N2,control,30pct,7.85,TB,2023-05-24,,,
N2,control,30pct,6.04,TB,2023-05-24,,,
N2,control,30pct,8.15,TB,2023-05-24,,,
N2,control,30pct,10.35,TB,2023-05-24,,,
N2,control,30pct,5.31,TB,2023-05-24,,,
N2,control,30pct,5.38,TB,2023-05-24,,,
N2,control,30pct,9.25,TB,2023-05-24,,,
N2,control,30pct,16.2,TB,2023-05-24,,,
N2,control,30pct,6.41,TB,2023-05-24,,,
N2,control,30pct,9.28,TB,2023-05-24,,,
N2,control,30pct,5.73,TB,2023-05-24,,,
N2,control,30pct,7.19,TB,2023-05-24,,,
glo-1,control,30pct,4.17,TB,2023-05-24,,,
glo-1,control,30pct,5.86,TB,2023-05-24,,,
glo-1,control,30pct,3.19,TB,2023-05-24,,,
glo-1,control,30pct,4.17,TB,2023-05-24,,,
glo-1,control,30pct,8.55,TB,2023-05-24,,,
glo-1,control,30pct,3.98,TB,2023-05-24,,,
glo-1,control,30pct,4.44,TB,2023-05-24,,,
glo-1,control,30pct,2.85,TB,2023-05-24,,,
glo-1,control,30pct,5.22,TB,2023-05-24,,,
glo-1,control,30pct,4.59,TB,2023-05-24,,,
glo-1,control,30pct,6.2,TB,2023-05-24,,,
glo-1,control,30pct,3.1,TB,2023-05-24,,,
glo-1,control,30pct,5.97,TB,2023-05-24,,,
glo-1,control,30pct,3.78,TB,2023-05-24,,,
glo-1,control,30pct,4.89,TB,2023-05-24,,,
ugt-64,control,30pct,4.5,TB,2023-05-24,,,
ugt-64,control,30pct,5.09,TB,2023-05-24,,,
ugt-64,control,30pct,2.93,TB,2023-05-24,,,
ugt-64,control,30pct,3.84,TB,2023-05-24,,,
ugt-64,control,30pct,9.85,TB,2023-05-24,,,
ugt-64,control,30pct,4.46,TB,2023-05-24,,,
ugt-64,control,30pct,6.51,TB,2023-05-24,,,
ugt-64,control,30pct,3.94,TB,2023-05-24,,,
ugt-64,control,30pct,10.93,TB,2023-05-24,,,
ugt-64,control,30pct,5.37,TB,2023-05-24,,,
ugt-64,control,30pct,8.55,TB,2023-05-24,,,
ugt-64,control,30pct,6.31,TB,2023-05-24,,,
ugt-64,control,30pct,6.44,TB,2023-05-24,,,
ugt-64,control,30pct,3.42,TB,2023-05-24,,,
ugt-64,control,30pct,1.95,TB,2023-05-24,,,
ugt-64,control,30pct,3.14,TB,2023-05-24,,,
ugt-64,control,30pct,5.47,TB,2023-05-24,,,
ugt-64,control,30pct,10.97,TB,2023-05-24,,,
ugt-64,control,30pct,12.42,TB,2023-05-24,,,
ugt-64,control,30pct,3.18,TB,2023-05-24,,,
N2,control,30pct,2.1,TB,2023-06-19,,,
N2,control,30pct,3.1,TB,2023-06-19,,,
N2,control,30pct,3.5,TB,2023-06-19,,,
N2,control,30pct,3.2,TB,2023-06-19,,,
N2,control,30pct,3.2,TB,2023-06-19,,,
N2,control,30pct,2.7,TB,2023-06-19,,,
N2,control,30pct,7,TB,2023-06-19,,,
N2,control,30pct,13,TB,2023-06-19,,,
N2,control,30pct,6.7,TB,2023-06-19,,,
N2,control,30pct,2.2,TB,2023-06-19,,,
N2,control,30pct,2.4,TB,2023-06-19,,,
N2,control,30pct,7.3,TB,2023-06-19,,,
N2,control,30pct,4.4,TB,2023-06-19,,,
N2,control,30pct,3.3,TB,2023-06-19,,,
N2,control,30pct,7.7,TB,2023-06-19,,,
N2,control,30pct,2.5,TB,2023-06-19,,,
N2,control,30pct,1.5,TB,2023-06-19,,,
N2,control,30pct,13.7,TB,2023-06-19,,,
N2,control,30pct,6.2,TB,2023-06-19,,,
N2,control,30pct,7.7,TB,2023-06-19,,,
N2,control,30pct,5.5,TB,2023-06-19,,,
N2,control,30pct,2,TB,2023-06-19,,,
N2,control,30pct,4.4,TB,2023-06-19,,,
N2,control,30pct,13.3,TB,2023-06-19,,,
cest-2.1,control,30pct,8.34,TB,2023-06-19,,,
cest-2.1,control,30pct,6.29,TB,2023-06-19,,,
cest-2.1,control,30pct,2.44,TB,2023-06-19,,,
cest-2.1,control,30pct,11.18,TB,2023-06-19,,,
cest-2.1,control,30pct,2.3,TB,2023-06-19,,,
cest-2.1,control,30pct,2.4,TB,2023-06-19,,,
cest-2.1,control,30pct,12,TB,2023-06-19,,,
cest-2.1,control,30pct,3.1,TB,2023-06-19,,,
cest-2.1,control,30pct,4.24,TB,2023-06-19,,,
cest-2.1,control,30pct,9.65,TB,2023-06-19,,,
cest-2.1,control,30pct,2.56,TB,2023-06-19,,,
cest-2.1,control,30pct,5.7,TB,2023-06-19,,,
cest-2.1,control,30pct,3.98,TB,2023-06-19,,,
cest-2.1,control,30pct,2.23,TB,2023-06-19,,,
cest-2.1,control,30pct,3.02,TB,2023-06-19,,,
cest-2.1,control,30pct,1.6,TB,2023-06-19,,,
cest-2.1,control,30pct,2.4,TB,2023-06-19,,,
cest-2.1,control,30pct,1.5,TB,2023-06-19,,,
cest-2.1,control,30pct,1.97,TB,2023-06-19,,,
glo-1,control,30pct,8.55,TB,2023-06-19,,,
glo-1,control,30pct,3.98,TB,2023-06-19,,,
glo-1,control,30pct,4.44,TB,2023-06-19,,,
glo-1,control,30pct,2.85,TB,2023-06-19,,,
glo-1,control,30pct,5.32,TB,2023-06-19,,,
glo-1,control,30pct,6.34,TB,2023-06-19,,,
glo-1,control,30pct,9.12,TB,2023-06-19,,,
glo-1,control,30pct,3.31,TB,2023-06-19,,,
glo-1,control,30pct,6.42,TB,2023-06-19,,,
glo-1,control,30pct,8.12,TB,2023-06-19,,,
glo-1,control,30pct,2.41,TB,2023-06-19,,,
glo-1,control,30pct,4.63,TB,2023-06-19,,,
glo-1,control,30pct,9.75,TB,2023-06-19,,,
glo-1,control,30pct,2.69,TB,2023-06-19,,,
glo-1,control,30pct,3.26,TB,2023-06-19,,,
glo-1,control,30pct,5.52,TB,2023-06-19,,,
glo-1,control,30pct,7.46,TB,2023-06-19,,,
glo-1,control,30pct,3.35,TB,2023-06-19,,,
glo-1,control,30pct,4.21,TB,2023-06-19,,,
glo-1,control,30pct,6.29,TB,2023-06-19,,,
glo-1,control,30pct,7.32,TB,2023-06-19,,,
glo-1,control,30pct,8.46,TB,2023-06-19,,,
N2,control,30pct,14.32,TB,2023-06-22,,,
N2,control,30pct,18.91,TB,2023-06-22,,,
N2,control,30pct,4.42,TB,2023-06-22,,,
N2,control,30pct,8.45,TB,2023-06-22,,,
N2,control,30pct,3.69,TB,2023-06-22,,,
N2,control,30pct,6.35,TB,2023-06-22,,,
N2,control,30pct,8.25,TB,2023-06-22,,,
N2,control,30pct,6.64,TB,2023-06-22,,,
N2,control,30pct,6.71,TB,2023-06-22,,,
N2,control,30pct,9.23,TB,2023-06-22,,,
N2,control,30pct,4.11,TB,2023-06-22,,,
N2,control,30pct,2.88,TB,2023-06-22,,,
N2,control,30pct,15.82,TB,2023-06-22,,,
N2,control,30pct,8.3,TB,2023-06-22,,,
N2,control,30pct,7.74,TB,2023-06-22,,,
N2,control,30pct,5.82,TB,2023-06-22,,,
N2,control,30pct,2.95,TB,2023-06-22,,,
N2,control,30pct,10.42,TB,2023-06-22,,,
N2,control,30pct,12.69,TB,2023-06-22,,,
N2,control,30pct,3.75,TB,2023-06-22,,,
N2,control,30pct,15.8,TB,2023-06-22,,,
N2,control,30pct,2.49,TB,2023-06-22,,,
cest-2.1,control,30pct,2.23,TB,2023-06-22,,,
cest-2.1,control,30pct,4.98,TB,2023-06-22,,,
cest-2.1,control,30pct,5.41,TB,2023-06-22,,,
cest-2.1,control,30pct,3.34,TB,2023-06-22,,,
cest-2.1,control,30pct,8.56,TB,2023-06-22,,,
cest-2.1,control,30pct,2.73,TB,2023-06-22,,,
cest-2.1,control,30pct,5.81,TB,2023-06-22,,,
cest-2.1,control,30pct,9.42,TB,2023-06-22,,,
cest-2.1,control,30pct,4.32,TB,2023-06-22,,,
cest-2.1,control,30pct,3.91,TB,2023-06-22,,,
cest-2.1,control,30pct,2.31,TB,2023-06-22,,,
cest-2.1,control,30pct,2.74,TB,2023-06-22,,,
cest-2.1,control,30pct,2.33,TB,2023-06-22,,,
cest-2.1,control,30pct,5.42,TB,2023-06-22,,,
cest-2.1,control,30pct,2.44,TB,2023-06-22,,,
cest-2.1,control,30pct,9.48,TB,2023-06-22,,,
cest-2.1,control,30pct,2.85,TB,2023-06-22,,,
tbh-1,control,30pct,3.57,TB,2023-06-22,,,
tbh-1,control,30pct,4.82,TB,2023-06-22,,,
tbh-1,control,30pct,6.34,TB,2023-06-22,,,
tbh-1,control,30pct,4.51,TB,2023-06-22,,,
tbh-1,control,30pct,2.05,TB,2023-06-22,,,
tbh-1,control,30pct,15.21,TB,2023-06-22,,,
tbh-1,control,30pct,4.41,TB,2023-06-22,,,
tbh-1,control,30pct,2.47,TB,2023-06-22,,,
tbh-1,control,30pct,6.29,TB,2023-06-22,,,
tbh-1,control,30pct,7.42,TB,2023-06-22,,,
tbh-1,control,30pct,3.57,TB,2023-06-22,,,
tbh-1,control,30pct,3.24,TB,2023-06-22,,,
tbh-1,control,30pct,4.25,TB,2023-06-22,,,
tbh-1,control,30pct,6.27,TB,2023-06-22,,,
tbh-1,control,30pct,8.25,TB,2023-06-22,,,
tbh-1,control,30pct,3.67,TB,2023-06-22,,,
tbh-1,control,30pct,7.81,TB,2023-06-22,,,
tbh-1,control,30pct,4.44,TB,2023-06-22,,,
tbh-1,control,30pct,2.65,TB,2023-06-22,,,
tbh-1,control,30pct,11.62,TB,2023-06-22,,,
tbh-1,control,30pct,3.18,TB,2023-06-22,,,
tbh-1,control,30pct,8.69,TB,2023-06-22,,,
cest-2.1,control,30pct,2.45,TB,2023-06-23,,,
cest-2.1,control,30pct,5.24,TB,2023-06-23,,,
cest-2.1,control,30pct,2.48,TB,2023-06-23,,,
cest-2.1,control,30pct,5.21,TB,2023-06-23,,,
cest-2.1,control,30pct,6.11,TB,2023-06-23,,,
cest-2.1,control,30pct,3.7,TB,2023-06-23,,,
cest-2.1,control,30pct,9.73,TB,2023-06-23,,,
cest-2.1,control,30pct,5.14,TB,2023-06-23,,,
cest-2.1,control,30pct,3.41,TB,2023-06-23,,,
cest-2.1,control,30pct,4.57,TB,2023-06-23,,,
cest-2.1,control,30pct,7.12,TB,2023-06-23,,,
cest-2.1,control,30pct,2.46,TB,2023-06-23,,,
cest-2.1,control,30pct,3.27,TB,2023-06-23,,,
cest-2.1,control,30pct,2.71,TB,2023-06-23,,,
cest-2.1,control,30pct,6.52,TB,2023-06-23,,,
cest-2.1,control,30pct,8.54,TB,2023-06-23,,,
cest-2.1,control,30pct,2.08,TB,2023-06-23,,,
N2,control,30pct,15.26,TB,2023-06-23,,,
N2,control,30pct,9.42,TB,2023-06-23,,,
N2,control,30pct,7.42,TB,2023-06-23,,,
N2,control,30pct,5.31,TB,2023-06-23,,,
N2,control,30pct,8.51,TB,2023-06-23,,,
N2,control,30pct,4.25,TB,2023-06-23,,,
N2,control,30pct,6.24,TB,2023-06-23,,,
N2,control,30pct,8.36,TB,2023-06-23,,,
N2,control,30pct,3.16,TB,2023-06-23,,,
N2,control,30pct,4.26,TB,2023-06-23,,,
N2,control,30pct,18.49,TB,2023-06-23,,,
N2,control,30pct,7.52,TB,2023-06-23,,,
N2,control,30pct,4.14,TB,2023-06-23,,,
N2,control,30pct,9.1,TB,2023-06-23,,,
N2,control,30pct,7.87,TB,2023-06-23,,,
N2,control,30pct,2.43,TB,2023-06-23,,,
N2,control,30pct,2.13,TB,2023-06-23,,,
N2,control,30pct,12.51,TB,2023-06-23,,,
N2,control,30pct,8.28,TB,2023-06-23,,,
N2,control,30pct,7.39,TB,2023-06-23,,,
N2,control,30pct,3.52,TB,2023-06-23,,,
N2,control,30pct,16.52,TB,2023-06-23,,,
N2,control,30pct,9.52,TB,2023-06-23,,,
N2,control,30pct,11.53,TB,2023-06-23,,,
glo-1,control,30pct,6.24,TB,2023-06-23,,,
glo-1,control,30pct,5.72,TB,2023-06-23,,,
glo-1,control,30pct,8.24,TB,2023-06-23,,,
glo-1,control,30pct,2.56,TB,2023-06-23,,,
glo-1,control,30pct,3.56,TB,2023-06-23,,,
glo-1,control,30pct,6.19,TB,2023-06-23,,,
glo-1,control,30pct,8.22,TB,2023-06-23,,,
glo-1,control,30pct,2.44,TB,2023-06-23,,,
glo-1,control,30pct,3.17,TB,2023-06-23,,,
glo-1,control,30pct,8.33,TB,2023-06-23,,,
glo-1,control,30pct,2.16,TB,2023-06-23,,,
glo-1,control,30pct,2.99,TB,2023-06-23,,,
glo-1,control,30pct,6.9,TB,2023-06-23,,,
glo-1,control,30pct,7.31,TB,2023-06-23,,,
glo-1,control,30pct,3.4,TB,2023-06-23,,,
ugt-64 ,control,30pct,3.65,TB,2023-06-23,,,
ugt-64 ,control,30pct,8.36,TB,2023-06-23,,,
ugt-64 ,control,30pct,9.26,TB,2023-06-23,,,
ugt-64 ,control,30pct,3.21,TB,2023-06-23,,,
ugt-64 ,control,30pct,2.74,TB,2023-06-23,,,
ugt-64 ,control,30pct,4.26,TB,2023-06-23,,,
ugt-64,control,30pct,5.93,TB,2023-06-23,,,
ugt-64 ,control,30pct,2.63,TB,2023-06-23,,,
ugt-64 ,control,30pct,2.6,TB,2023-06-23,,,
ugt-64 ,control,30pct,6.24,TB,2023-06-23,,,
ugt-64 ,control,30pct,5.28,TB,2023-06-23,,,
ugt-64 ,control,30pct,8.25,TB,2023-06-23,,,
ugt-64 ,control,30pct,12.23,TB,2023-06-23,,,
ugt-64 ,control,30pct,9.25,TB,2023-06-23,,,
ugt-64 ,control,30pct,5.3,TB,2023-06-23,,,
ugt-64 ,control,30pct,6.29,TB,2023-06-23,,,
cest-2.1,control,30pct,2.95,TB,2023-06-26,,,
cest-2.1,control,30pct,5.22,TB,2023-06-26,,,
cest-2.1,control,30pct,10.53,TB,2023-06-26,,,
cest-2.1,control,30pct,3.76,TB,2023-06-26,,,
cest-2.1,control,30pct,5.92,TB,2023-06-26,,,
cest-2.1,control,30pct,7.32,TB,2023-06-26,,,
cest-2.1,control,30pct,7.14,TB,2023-06-26,,,
cest-2.1,control,30pct,13.52,TB,2023-06-26,,,
cest-2.1,control,30pct,2.42,TB,2023-06-26,,,
cest-2.1,control,30pct,3.51,TB,2023-06-26,,,
cest-2.1,control,30pct,14.96,TB,2023-06-26,,,
cest-2.1,control,30pct,2.83,TB,2023-06-26,,,
cest-2.1,control,30pct,4.47,TB,2023-06-26,,,
cest-2.1,control,30pct,2.11,TB,2023-06-26,,,
cest-2.1,control,30pct,5.76,TB,2023-06-26,,,
cest-2.1,control,30pct,3.52,TB,2023-06-26,,,
cest-2.1,control,30pct,6.92,TB,2023-06-26,,,
cest-2.1,control,30pct,5.02,TB,2023-06-26,,,
N2,control,30pct,9.35,TB,2023-06-26,,,
N2,control,30pct,8.45,TB,2023-06-26,,,
N2,control,30pct,5.72,TB,2023-06-26,,,
N2,control,30pct,7.13,TB,2023-06-26,,,
N2,control,30pct,7.95,TB,2023-06-26,,,
N2,control,30pct,6.88,TB,2023-06-26,,,
N2,control,30pct,11.52,TB,2023-06-26,,,
N2,control,30pct,3.09,TB,2023-06-26,,,
N2,control,30pct,17.49,TB,2023-06-26,,,
N2,control,30pct,10.08,TB,2023-06-26,,,
N2,control,30pct,4.82,TB,2023-06-26,,,
N2,control,30pct,9.42,TB,2023-06-26,,,
N2,control,30pct,14.39,TB,2023-06-26,,,
N2,control,30pct,3.5,TB,2023-06-26,,,
N2,control,30pct,5.26,TB,2023-06-26,,,
N2,control,30pct,12.57,TB,2023-06-26,,,
N2,control,30pct,15.34,TB,2023-06-26,,,
N2,control,30pct,4.31,TB,2023-06-26,,,
N2,control,30pct,12.35,TB,2023-06-26,,,
N2,control,30pct,6.14,TB,2023-06-26,,,
N2,control,30pct,2.78,TB,2023-06-26,,,
N2,control,30pct,19.74,TB,2023-06-26,,,
N2,control,30pct,2.5,TB,2023-06-26,,,
N2,control,30pct,5.73,TB,2023-06-26,,,
sqv-7,control,30pct,10.25,TB,2023-06-26,,,
sqv-7,control,30pct,2.64,TB,2023-06-26,,,
sqv-7,control,30pct,13.16,TB,2023-06-26,,,
sqv-7,control,30pct,4.29,TB,2023-06-26,,,
sqv-7,control,30pct,6.19,TB,2023-06-26,,,
sqv-7,control,30pct,3.16,TB,2023-06-26,,,
sqv-7,control,30pct,8.37,TB,2023-06-26,,,
sqv-7,control,30pct,14.84,TB,2023-06-26,,,
sqv-7,control,30pct,3.25,TB,2023-06-26,,,
sqv-7,control,30pct,8.83,TB,2023-06-26,,,
sqv-7,control,30pct,4.26,TB,2023-06-26,,,
sqv-7,control,30pct,3.89,TB,2023-06-26,,,
sqv-7,control,30pct,5.29,TB,2023-06-26,,,
sqv-7,control,30pct,9.03,TB,2023-06-26,,,
sqv-7,control,30pct,2.92,TB,2023-06-26,,,
sqv-7,control,30pct,12.56,TB,2023-06-26,,,
sqv-7,control,30pct,8.58,TB,2023-06-26,,,
sqv-7,control,30pct,6.24,TB,2023-06-26,,,
